"用户ID","特征","清扫效率","耗材","对比","时间"
"1001","65m2公寓|单身|木地板","覆盖率:85%\n日均清扫:45m2\n漏扫区域:沙发底部(高度不足)","主刷寿命:剩余60天\nHEPA滤网:正常","首次建档","2025-03"
"1002","70m2公寓|情侣|瓷砖","覆盖率:86%\n避障失败:4次/周(电线缠绕)","边刷磨损:中度\n尘盒清理:每2天","首次建档","2025-07"
"1003","90m2|1狗|短毛地毯","毛发清理:90%\n地毯增压使用:12次/月","胶刷更换:剩余25天\n尘盒容量:每日清理","首次建档","2025-12"
"1004","85m2|2猫|混合地面","猫砂泼洒处理:10次/月\n自动回充成功率:86%","主刷缠绕:严重+\n滤网更换:剩余10天","首次建档","2025-10"
"1005","120m2|老人|防滑砖","手动操作占比:95%\n定时清扫尝试使用:0次/周","电池衰减:25%\n水箱未激活","首次建档","2025-07"
"1006","150m2别墅|儿童|多层","跨楼层失败:5次/周\n玩具避障率:70%","边刷更换:待更换\n集尘袋消耗:1.5个/月","首次建档","2025-05"
"1007","55m2一居|独居|复合地板","覆盖率:90%\n日均清扫:35m2\n沿边清扫无死角","滤网寿命:剩余80天\n尘盒清理:每2天","首次建档","2025-05"
"1008","100m2三居|三口之家|大理石","覆盖率:86%\n餐桌区域漏扫:2次/天\n避障成功率:90%","主刷磨损:轻度+\n水箱加水:每日","首次建档","2025-10"
"1009","80m2两居|养宠|仿实木","宠物毛发清理:85%\n自动回充成功率:92%","胶刷缠绕:中度\n滤网更换:剩余30天","首次建档","2025-03"
"1010","130m2四居|三代同堂|通体砖","覆盖率:82%\n手动辅助清扫:3次/天\n定时清扫使用率:60%","电池衰减:15%\n边刷寿命:剩余70天","首次建档","2025-12"
"1001","65m2公寓|单身|木地板","覆盖率:86%\n日均清扫:46m2\n漏扫区域:沙发底部(高度不足)","主刷寿命:剩余55天\nHEPA滤网:正常","无异常","2025-01"
"1002","70m2公寓|情侣|瓷砖","覆盖率:87%\n避障失败:3次/周(电线缠绕)","边刷磨损:中度+\n尘盒清理:每2天","无异常","2025-02"
"1003","90m2|1狗|短毛地毯","毛发清理:91%\n地毯增压使用:14次/月","胶刷更换:剩余20天\n尘盒容量:每日清理","无异常","2025-04"
"1004","85m2|2猫|混合地面","猫砂泼洒处理:9次/月\n自动回充成功率:87%","主刷缠绕:严重+\n滤网更换:紧急","无异常","2025-12"
"1005","120m2|老人|防滑砖","手动操作占比:94%\n定时清扫尝试使用:1次/周","电池衰减:26%\n水箱未激活","无异常","2025-08"
"1006","150m2别墅|儿童|多层","跨楼层失败:4次/周\n玩具避障率:74%","边刷更换:待更换\n集尘袋消耗:1.2个/月","无异常","2025-05"
"1007","55m2一居|独居|复合地板","覆盖率:91%\n日均清扫:36m2\n沿边清扫无死角","滤网寿命:剩余75天\n尘盒清理:每3天","无异常","2025-12"
"1008","100m2三居|三口之家|大理石","覆盖率:87%\n餐桌区域漏扫:1次/天\n避障成功率:91%","主刷磨损:中度-\n水箱加水:每日","无异常","2025-08"
"1009","80m2两居|养宠|仿实木","宠物毛发清理:86%\n自动回充成功率:93%","胶刷缠绕:中度\n滤网更换:剩余25天","养宠家庭中期回访：满意","2025-09"
"1010","130m2四居|三代同堂|通体砖","覆盖率:83%\n手动辅助清扫:2次/天\n定时清扫使用率:65%","电池衰减:16%\n边刷寿命:剩余65天","无异常","2025-01"
"1001","65m2公寓|单身|木地板","覆盖率:87%\n日均清扫:47m2\n漏扫区域:沙发底部(高度不足)","主刷寿命:剩余50天\nHEPA滤网:正常","无异常","2025-06"
"1002","70m2公寓|情侣|瓷砖","覆盖率:88%\n避障失败:2次/周(电线+数据线)","边刷磨损:重度-\n尘盒清理:每2天","拖地功能使用率提升","2025-06"
"1003","90m2|1狗|短毛地毯","毛发清理:92%\n地毯增压使用:16次/月","胶刷更换:已更换\n尘盒容量:每日清理","毛发处理效率良好","2025-02"
"1004","85m2|2猫|混合地面","猫砂泼洒处理:7次/月\n自动回充成功率:88%","主刷缠绕:严重\n滤网更换:已更换","升级吸力后清洁效果明显","2025-02"
"1005","120m2|老人|防滑砖","手动操作占比:93%\n定时清扫使用率:2次/周","电池衰减:27%\n水箱首次激活:使用1次","语音控制功能试用反馈","2025-07"
"1006","150m2别墅|儿童|多层","跨楼层失败:2次/周\n玩具避障率:78%","边刷更换:1次/季度\n集尘袋消耗:1个/月","机械臂配件建议","2025-09"
"1007","55m2一居|独居|复合地板","覆盖率:92%\n日均清扫:37m2\n沿边清扫无死角","滤网寿命:剩余70天\n尘盒清理:每4天","无异常","2025-04"
"1008","100m2三居|三口之家|大理石","覆盖率:88%\n餐桌区域漏扫:0次/天\n避障成功率:92%","主刷磨损:中度-\n水箱加水:每日","无异常","2025-11"
"1009","80m2两居|养宠|仿实木","宠物毛发清理:88%\n自动回充成功率:94%","胶刷缠绕:轻度+\n滤网更换:剩余20天","养宠家庭季度回访","2025-01"
"1010","130m2四居|三代同堂|通体砖","覆盖率:85%\n手动辅助清扫:2次/天\n定时清扫使用率:70%","电池衰减:17%\n边刷寿命:剩余60天","无异常","2025-06"
"1001","65m2公寓|单身|木地板","覆盖率:88%\n日均清扫:48m2\n漏扫区域:无(沙发底部垫高)","主刷寿命:剩余45天\nHEPA滤网:正常","无异常","2025-10"
"1002","70m2公寓|情侣|瓷砖","覆盖率:89%\n避障失败:1次/周(电线缠绕)","边刷磨损:中度\n尘盒清理:每3天","拖地功能使用习惯养成","2025-04"
"1003","90m2|1狗|短毛地毯","毛发清理:93%\n地毯增压使用:17次/月","胶刷更换:剩余45天\n尘盒容量:每2天清理","毛发处理持续优化","2025-11"
"1004","85m2|2猫|混合地面","猫砂泼洒处理:6次/月\n自动回充成功率:90%","主刷缠绕:中度+\n滤网寿命:剩余60天","清洁效率稳定提升","2025-06"
"1005","120m2|老人|防滑砖","手动操作占比:85%\n定时清扫使用率:5次/周","电池衰减:28%\n水箱使用率:50%","语音控制功能满意度高","2025-03"
"1006","150m2别墅|儿童|多层","跨楼层失败:1次/周\n玩具避障率:85%","边刷寿命:剩余60天\n集尘袋消耗:0.8个/月","清洁效率较上月提升","2025-04"
"1007","55m2一居|独居|复合地板","覆盖率:93%\n日均清扫:38m2\n沿边清扫无死角","滤网寿命:剩余65天\n尘盒清理:每5天","清洁效果保持良好","2025-11"
"1008","100m2三居|三口之家|大理石","覆盖率:89%\n餐桌区域漏扫:0次/天\n避障成功率:93%","主刷磨损:中度\n水箱加水:每日","无异常","2025-08"
"1009","80m2两居|养宠|仿实木","宠物毛发清理:89%\n自动回充成功率:95%","胶刷缠绕:轻度\n滤网更换:剩余15天","养宠家庭持续回访","2025-09"
"1010","130m2四居|三代同堂|通体砖","覆盖率:86%\n手动辅助清扫:1次/天\n定时清扫使用率:75%","电池衰减:18%\n边刷寿命:剩余55天","三代同堂使用反馈良好","2025-05"
